4.99.1.M4	phenylacetonitrile-specifying protein	RXN-12025+RXN-8136+RXNQT-4351
3.2.1.147	thioglucoside glucohydrolase	RXN-8134+RXN-18216+RXN-18217+RXNQT-4359
4.99.1.M5	alkenyl thiohydroximate-O-sulfate sulfohydrolase (epithionitrile-forming)	RXN-8137
3.5.5.1	indole-3-acetonitrile nitrilase	RXN-1404
1.14.13.M51	glucobrassicin monooxygenase	RXN-2162
2.5.1.18	indolylmethylisothiocyanate:glutathione transferase	RXNQT-4363+RXN-15680+RXN-18405+RXN-18407+GSHTRAN-RXN
3.4.17.b	indol-3-ylmethylisothiocyanate-glutatione carboxypeptidase	RXN-19576+RXN-12532
2.7.8.7	holo-[acyl carrier protein] synthase	HOLO-ACP-SYNTH-RXN+ENTDB-RXN+RXN-15889
3.1.3.-	ecdysteroid-phosphate phosphatase	RXN-14734+RXN-10938+RXN-11777+RXN-11716+RXN-15663+RXN-10961+RXN-10962
1.1.3.16	ecdysone oxidase	ECDYSONE-OXIDASE-RXN
1.14.14.-	20-hydroxyecdysone 26-hydroxylase	RXN-14736+RXN-11385+RXN-11388+RXN-11540+RXN-12155+RXN-14680+RXN-14677+RXN-11260+RXN-11262+RXN-16828+RXN-15887+RXN-15738+RXN-20902+RXN-20903+RXN-20904+RXN-15679+RXN-15470+RXN-15473+RXN-15500+RXN-15501+RXN-17040+RXN-9486+RXN-16217+RXN-15383+RXN-15386+RXN-15384+RXN-11529+RXN-11530+RXN-4231+RXN-11531+RXN-4230+RXN-773+RXN-774+RXN-11535+RXN-4241+RXN-777+RXN-778+RXN-11536+RXN-715+RXN-716+RXN-11537+RXN-11538+RXN-719+RXN-720+RXN-8536+RXN-8248+RXN-16140+RXN-16144+RXN-16141+RXN-16147+RXN-16142+RXN-16143+RXN-7628+RXN-17029+RXN-17030+RXN-17031+RXN-17032+RXN-17036+RXN-17038+RXN-17049+RXN-17043+RXN-17051+RXN-17057
1.1.1.-	3-dehydroecdysone-3alpha-reductase	RXN-14743+RXN-10740+RXN-16495+RXN-13536+RXN-11709+RXN-16406+RXN-16416+RXN-15338+RXN-9799+RXN-9802+RXN-11035+RXN-11034+RXN-16242+RXN-14683+RXN-16861+RXN-16929+RXN-16931+RXN-16926+RXN-11720+RXN-15664+RXN-15482+RXN0-5289+RXN0-4281+RXN-905+LINC-RXN+RXN-12300+RXN-12297+RXN-15743+RXN-161+RXN0-7021+RXN-14664+RXN-14668+RXN-19797+RXN-13660+RXN-12932+RXN-12930+RXN-12921+RXN-12929+RXN-12935+RXN-8776+RXN-14769+RXN-14767+RXN-14763
1.14.13.-	ethionamide S-monooxygenase	RXN-18711+RXN-18712+RXN-18713+RXN-16859+RXN-16860+RXN-15922+RXN-16928+RXN-16930+RXN-16924+RXN-16884+RXN-16885+RXN-15585+RXN-16740+RXN-16741+RXN-16742+RXN-20489+RXN-16826+RXN-16579+RXN-16580+RXN-8905+RXN-13483+RXN-11394+RXN-17006+RXN-17005+RXN-15495+RXN-15496+RXN-11794+RXN-16080+RXN-16087+RXN-21518+RXN-13169+RXN-20886+RXN-16436+RXN-16439+RXN-16442+RXN-16440+RXN-16443+RXN-16437+RXN-16216+RXN-14663+RXN18C3-22+RXN18C3-23+RXN18C3-235+RXN18C3-3
3.5.1.M7	indole-3-acetyl-L-alanine hydrolase	RXN-2981
6.2.1.3	long-chain-fatty-acid-CoA ligase	RXN-7904+RXN-16402+RXN-16401+RXN-12184+RXN-16389+RXN-13614+RXN-9623+RXN-16380+RXN-9644+RXN-16393+R223-RXN+RXN-9673
2.7.7.4	sulfate adenylyltransferase	SULFATE-ADENYLYLTRANS-RXN+RXN-12720
2.7.1.25	adenylyl-sulfate kinase	ADENYLYLSULFKIN-RXN
1.14.11.-	gibberellin A20,2-oxoglutarate:oxygen oxidoreductase	RXN-113+RXN-171+RXN-6550+RXN-947+RXN-991+RXN-886+RXN-16489+RXN-16497+RXN-12537+RXN-20871+RXN1F-167+RXN1F-101+RXN1F-169+RXN-14317+RXN-14318+RXN-14327+RXN-6522+RXN1F-162+RXN1F-164+RXN1F-165+RXN-6523+RXN1F-99+RXN-6541+RXN-6544+RXN-7589+RXN-7591+RXN18C3-236+RXN-13839
1.14.11.13	gibberellin 2-oxidase	RXN-115
1.14.20.-	gibberellin A34,2-oxoglutarate:oxygen oxidoreductase	RXN-292+RXN-172+RXN-114+RXN-118+RXN-16827+RXN-16086+RXN-16093+RXN-6524+RXN1F-163+RXN-7590
2.1.1.275	GA9 carboxyl methyltransferase	RXN-11358
2.1.1.-	GA4 carboxyl methyltransferase	RXN-11384+RXN-6462+RXN-6464+RXN-9021+RXN-9022+RXN-9018+RXN1G-45+RXN1G-2527+RXN1G-3232+RXN-15342+RXN1G-3256+RXN-15340+RXN1G-3613+RXN1G-3660+RXN-9574+RXN-11261+RXN-11263+RXN-16476+RXN-15537+RXN-15534+RXN-15536+RXN-16857+RXN-16858+RXN-16923+RXN-16887+RXN-16888+RXN-20466+RXN-20471+RXN-20294+RXN-20283+RXN-16545+RXN-16694+RXN-16744+RXN-16534+RXN-16535+RXN-16538+RXN-20259+RXN-16581+RXN-15686+RXN-16212+RXN-17896+RXN-17366+RXN-14526+RXN-14527+RXN-12189+RXN-14667+RXN-13667+RXN-12931+RXN-12941+RXN-13838+RXN-13841+RXN-13849+RXN-13847+RXN-16146+RXN-16145
2.1.1.276	GA4 carboxyl methyltransferase	RXN-11359
6.3.-.-	indole-3-acetyl-aspartate synthetase	RXN-2946+RXN-9084+RXN-9083+RXN-2948+RXN-2947+RXN-2944+RXN-2945
2.4.1.121	UDP-glucose:indole-3-acetate b-D-glucosyltransferase	2.4.1.121-RXN
2.8.2.M2	brassinolide sulfotransferase	RXN-10875
