PWY-6684	aromatic  glucosinolate activation
PWY-5267	glucosinolate activation
PWY-6012-1	acyl carrier protein activation
PWY-4441	DIMBOA-glucoside activation
PWY-7321	ecdysteroid metabolism (arthropods)
PWY-7895	ethionamide activation
PWY-1822	indole-3-acetate activation I
PWY-1921	indole-3-acetate activation II
PWY-7896	isoniazid activation
PWY-5143	long-chain fatty acid activation
PWY-5340	sulfate activation for sulfonation
PWY-102	gibberellin inactivation I (2beta-hydroxylation)
PWY-6477	gibberellin inactivation II (methylation)
PWY-6494	gibberellin inactivation III (epoxidation)
PWY-1961	indole-3-acetate inactivation I
PWY-1962	indole-3-acetate inactivation II
PWY-1981	indole-3-acetate inactivation III
PWY-2021	indole-3-acetate inactivation IV
PWY-1741	indole-3-acetate inactivation IX
PWY-5788	indole-3-acetate inactivation V
PWY-5797	indole-3-acetate inactivation VI
PWY-5811	indole-3-acetate inactivation VII
PWY-5784	indole-3-acetate inactivation VIII
PWY-6219	indole-3-acetate inactivation VIII
PWY-1782	superpathway of indole-3-acetate conjugate biosynthesis
PWY-6546	brassinosteroids inactivation
PWY-7859	jasmonoyl-L-isoleucine inactivation
PWY-6297	tuberonate glucoside biosynthesis
PWY-5272	abscisic acid degradation by glucosylation
PWY-6012	acyl carrier protein metabolism
PWY-5926	afrormosin conjugates interconversion
PWY-2861	biochanin A conjugates interconversion
PWY-7057	cichoriin interconversion
PWY-2343	daidzein conjugates interconversion
PWY-7056	daphnin interconversion
PWY-7949	diadinoxanthin and diatoxanthin interconversion
PWY-2904	formononetin conjugates interconversion
PWY-2345	genistein conjugates interconversion
PWY-5835	geranyl acetate biosynthesis
PWY-801	homocysteine and cysteine interconversion
PWY-2701	maackiain conjugates interconversion
PWY-2561	medicarpin conjugates interconversion
PWY-6303	methyl indole-3-acetate interconversion
PWY-6972	oleandomycin activation/inactivation
PWY-7075	phenylethyl acetate biosynthesis
PWY-8138	polyphosphate metabolism
PWY-5114	UDP-sugars interconversion
PWY-5945	violaxanthin, antheraxanthin and zeaxanthin interconversion
PWY-7723	bacterial bioluminescence
PWY-7914	coral bioluminescence
PWY-7912	dinoflagellate bioluminescence
PWY-7913	firefly bioluminescence
PWY-7937	fungal bioluminescence
PWY-7915	jellyfish bioluminescence
PWY-7916	squid bioluminescence
PWY-4021	beta-alanine betaine biosynthesis
PWY-3722	glycine betaine biosynthesis II (Gram-positive bacteria)
PWY-6004	glycine betaine biosynthesis V (from glycine)
PWY-3385	choline biosynthesis I
PWY-3542	choline biosynthesis II
PWY-3561	choline biosynthesis III
PWY-40	putrescine biosynthesis I
PWY-43	putrescine biosynthesis II
PWY-46	putrescine biosynthesis III
PWY-6305	superpathway of putrescine biosynthesis
PWY-6559	spermidine biosynthesis II
PWY-6834	spermidine biosynthesis III
PWY-8114	branched-chain polyamines biosynthesis
PWY-6158	creatine-phosphate biosynthesis
PWY-4121	glutathionylspermidine biosynthesis
PWY-6173	histamine biosynthesis
PWY-5907	homospermidine biosynthesis
PWY-8115	long-chain polyamine biosynthesis
PWY-6562	norspermidine biosynthesis
PWY-7297	octopamine biosynthesis
PWY-6456	serinol biosynthesis
PWY-6565	superpathway of polyamine biosynthesis III
PWY-6482	diphthamide biosynthesis I (archaea)
PWY-7546	diphthamide biosynthesis II (eukaryotes)
PWY-5905	hypusine biosynthesis
PWY-4921	protein citrullination
PWY-3981	beta-alanine biosynthesis I
PWY-3941	beta-alanine biosynthesis II
PWY-5155	beta-alanine biosynthesis III
PWY-5760	beta-alanine biosynthesis IV
PWY-3982	uracil degradation I (reductive)
PWY-5004	superpathway of L-citrulline metabolism
PWY-6922	L-Ndelta-acetylornithine biosynthesis
PWY-7649	3-hydroxy-L-homotyrosine biosynthesis
PWY-7701	4-hydroxy-4-methyl-L-glutamate biosynthesis
PWY-7648	4-methyl-proline biosynthesis
PWY-8072	alanine racemization
PWY-7274	D-cycloserine biosynthesis
PWY-6196	D-serine metabolism
PWY-5344	L-homocysteine biosynthesis
PWY-1186	L-homomethionine biosynthesis
PWY-7275	L-homophenylalanine biosynthesis
PWY-6936	seleno-amino acid biosynthesis (plants)
PWY-6395	superpathway of seleno-compound metabolism
PWY-5154	L-arginine biosynthesis III (via N-acetyl-L-citrulline)
PWY-7400	L-arginine biosynthesis IV (archaebacteria)
PWY-4983	nitric oxide biosynthesis II (mammals)
PWY-6308	L-cysteine biosynthesis II (tRNA-dependent)
PWY-8010	L-cysteine biosynthesis IX (Trichomonas vaginalis)
PWY-7289	L-cysteine biosynthesis V (mycobacteria)
PWY-I9	L-cysteine biosynthesis VI (from L-methionine)
PWY-7870	L-cysteine biosynthesis VII (from S-sulfo-L-cysteine)
PWY-8009	L-cysteine biosynthesis VIII (Thermococcus kodakarensis)
PWY-6293	superpathway of L-cysteine biosynthesis (fungi)
PWY-6292	superpathway of L-cysteine biosynthesis (mammalian)
PWY-5505	L-glutamate and L-glutamine biosynthesis
PWY-4341	L-glutamate biosynthesis V
PWY-6549	L-glutamine biosynthesis III
PWY-5029	imidazole-lactate degradation
PWY-5101	L-isoleucine biosynthesis II
PWY-5103	L-isoleucine biosynthesis III
PWY-5104	L-isoleucine biosynthesis IV
PWY-5108	L-isoleucine biosynthesis V
PWY-3001	superpathway of L-isoleucine biosynthesis I
PWY-2941	L-lysine biosynthesis II
PWY-2942	L-lysine biosynthesis III
PWY-3081	L-lysine biosynthesis V
PWY-5097	L-lysine biosynthesis VI
PWY-702	L-methionine biosynthesis II (plants)
PWY-7977	L-methionine biosynthesis IV
PWY-5345	superpathway of L-methionine biosynthesis (by sulfhydrylation)
PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)
PWY-6151	S-adenosyl-L-methionine cycle I
PWY-5041	S-adenosyl-L-methionine cycle II
PWY-4361	S-methyl-5-thio-alpha-D-ribose 1-phosphate degradation I
PWY-7174	S-methyl-5-thio-alpha-D-ribose 1-phosphate degradation II
PWY-8132	S-methyl-5-thio-alpha-D-ribose 1-phosphate degradation III
PWY-7528	L-methionine salvage cycle I (bacteria and plants)
PWY-7270	L-methionine salvage cycle II (plants)
PWY-7527	L-methionine salvage cycle III
PWY-5441	S-methyl-L-methionine cycle
PWY-3462	L-phenylalanine biosynthesis II
PWY-7432	L-phenylalanine biosynthesis III (cytosolic, plants)
PWY-6628	superpathway of L-phenylalanine biosynthesis
PWY-4981	L-proline biosynthesis II (from arginine)
PWY-3341	L-proline biosynthesis III (from L-ornithine)
PWY-4281	L-proline biosynthesis IV
PWY-6994	L-pyrrolysine biosynthesis
PWY-6281	L-selenocysteine biosynthesis II (archaea and eukaryotes)
PWY-8011	L-serine biosynthesis II
PWY-181	photorespiration
PWY-6629	superpathway of L-tryptophan biosynthesis
PWY-3461	L-tyrosine biosynthesis II
PWY-6120	L-tyrosine biosynthesis III
PWY-6134	L-tyrosine biosynthesis IV
PWY-6630	superpathway of L-tyrosine biosynthesis
PWY-724	superpathway of L-lysine, L-threonine and L-methionine biosynthesis II
PWY-3481	superpathway of L-phenylalanine and L-tyrosine biosynthesis
PWY-821	superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)
PWY-5921	glutaminyl-tRNAgln biosynthesis via transamidation
PWY-6164	3-dehydroquinate biosynthesis I
PWY-6160	3-dehydroquinate biosynthesis II (archaea)
PWY-5754	4-hydroxybenzoate biosynthesis I (eukaryotes)
PWY-5755	4-hydroxybenzoate biosynthesis II (bacteria)
PWY-6435	4-hydroxybenzoate biosynthesis III (plants)
PWY-6431	4-hydroxybenzoate biosynthesis IV (plants)
PWY-6443	benzoate biosynthesis I (CoA-dependent, beta-oxidative)
PWY-6444	benzoate biosynthesis II (CoA-independent, non-beta-oxidative)
PWY-6446	benzoate biosynthesis III (CoA-dependent, non-beta-oxidative)
PWY-6766	salicin biosynthesis
PWY-6763	salicortin biosynthesis
PWY-6163	chorismate biosynthesis from 3-dehydroquinate
PWY-6165	chorismate biosynthesis II (archaea)
PWY-7931	brominated pyrroles biosynthesis
PWY-7932	polybrominated biphenyls and diphenyl ethers biosynthesis
PWY-7934	polybrominated dihydroxylated diphenyl ethers biosynthesis
PWY-7929	polybrominated phenols biosynthesis
PWY-7930	pyoluteorin biosynthesis
PWY-7935	spongiadioxin C biosynthesis
PWY-7933	superpathway of polybrominated aromatic compound biosynthesis
PWY-6406	salicylate biosynthesis I
PWY-981	salicylate biosynthesis II
PWY-6621	salicylate glucosides biosynthesis I
PWY-6623	salicylate glucosides biosynthesis II
PWY-6624	salicylate glucosides biosynthesis III
PWY-6762	salicylate glucosides biosynthesis IV
PWY-4203	volatile benzenoid biosynthesis I (ester formation)
PWY-5765	1,3,5-trimethoxybenzene biosynthesis
PWY-5901	2,3-dihydroxybenzoate biosynthesis
PWY-7076	3,5-dimethoxytoluene biosynthesis
PWY-7303	3-dimethylallyl-4-hydroxybenzoate biosynthesis
PWY-5886	4-hydroxyphenylpyruvate biosynthesis
PWY-6458	benzoyl-CoA biosynthesis
PWY-6323	benzoylanthranilate biosynthesis
PWY-6457	cinnamoyl-CoA biosynthesis
PWY-8088	dipicolinate biosynthesis
PWY-6707	gallate biosynthesis
PWY-6752	o-diquinones biosynthesis
PWY-5787	oligomeric urushiol biosynthesis
PWY-6320	phaselate biosynthesis
PWY-6930	phenolic malonylglucosides biosynthesis
PWY-5751	phenylethanol biosynthesis
PWY-7074	phenylethanol glycoconjugate biosynthesis
PWY-6333	acetaldehyde biosynthesis I
PWY-6330	acetaldehyde biosynthesis II
PWY-7032	alkane biosynthesis I
PWY-7033	alkane biosynthesis II
PWY-6622	heptadecane biosynthesis
PWY-6073	alginate biosynthesis I (algal)
PWY-6082	alginate biosynthesis II (bacterial)
PWY-5067	glycogen biosynthesis II (from UDP-D-Glucose)
PWY-7900	glycogen biosynthesis III (from alpha-maltose 1-phosphate)
PWY-622	starch biosynthesis
PWY-6566	chondroitin biosynthesis
PWY-6569	chondroitin sulfate biosynthesis
PWY-6567	chondroitin sulfate biosynthesis (late stages)
